,2,3,4,5,6,9,10,11,12,13,14,15,16,echo_mean,echo_std,echo_max,echo_cont_mean,echo_cont_median,echo_cont_std,echo_cont_max,shadow_mean,shadow_median,shadow_std,shadow_min,shadow_max,target
34,0,135,0,15,0,0,50,13,17,85,0,0,15,33.75,67.5,135,7.0,6.5,8.12403840463596,15,25.0,7.5,40.620192023179804,0,85,1
35,0,158,2,33,0,3,89,15,7,70,4,0,15,39.5,79.0,158,8.25,9.0,7.88986691902975,15,26.75,18.5,32.366392034536894,0,70,1
36,0,195,18,28,5,4,125,11,6,52,8,1,4,48.75,97.5,195,5.0,4.0,4.242640687119285,11,23.25,18.0,21.715969546242537,5,52,1
37,0,223,0,2,22,22,64,10,6,29,11,0,6,55.75,111.5,223,9.5,8.0,9.291573243177568,22,16.0,16.5,11.916375287812984,2,29,1
38,0,233,0,0,22,22,42,7,0,13,8,1,0,58.25,116.5,233,7.5,4.0,10.14889156509222,22,10.75,10.5,9.21502396451939,0,22,1
39,0,208,0,0,16,26,66,0,9,3,12,47,0,52.0,104.0,208,18.25,13.0,22.750457870850276,47,7.75,7.5,7.5,0,16,1
40,0,200,0,0,18,25,68,0,8,2,19,71,0,52.5,98.4462628374824,200,24.0,12.5,33.47635981803676,71,9.75,10.0,10.1447851956888,0,19,1
41,0,193,0,12,8,30,65,0,11,0,20,63,0,49.75,95.54187563576508,193,23.25,15.0,30.03747659175118,63,10.0,10.0,8.32666399786453,0,20,1
42,0,199,0,11,12,39,50,0,4,0,14,53,0,49.75,99.5,199,23.0,19.5,27.16615541441225,53,9.25,11.5,6.291528696058958,0,14,1
43,0,211,0,6,6,47,36,4,0,0,9,35,0,52.75,105.5,211,21.5,19.5,23.101226518664905,47,5.25,6.0,3.774917217635375,0,9,1
44,0,217,0,14,0,39,48,3,0,0,8,24,0,54.25,108.5,217,16.5,13.5,18.411952639521967,39,5.5,4.0,6.8068592855540455,0,14,1
45,0,220,0,19,0,19,51,5,0,0,5,2,0,55.0,110.0,220,6.5,3.5,8.582928793055821,19,6.0,2.5,8.981462390204985,0,19,1
46,0,203,0,35,2,28,37,11,2,0,1,0,0,53.0,100.08995953640904,203,9.75,5.5,13.225606476327151,28,9.5,1.5,17.019596548292988,0,35,1
47,0,182,0,73,9,39,93,17,5,0,0,0,7,45.5,91.0,182,15.75,12.0,16.997548842896926,39,20.5,4.5,35.25620512760839,0,73,1
48,0,172,0,109,9,36,120,27,8,0,0,0,9,43.0,86.0,172,18.0,18.0,16.431676725154983,36,29.5,4.5,53.16954015223378,0,109,1
49,0,146,0,132,4,20,87,31,2,14,0,0,0,36.5,73.0,146,12.75,10.0,15.392097539538485,31,37.5,9.0,63.27453410864964,0,132,1
