0,echo1,echo2,echo3,echo4,shadow5,shadow6,echo7,echo8,echo-contact9,echo-contact10,echo-contact11,echo-contact12,shadow13,shadow14,echo-contact15,echo-contact16
1,0,0,175,12,0,0,0,0,255,112,0,0,233,173,2,23
2,0,0,159,10,10,0,0,0,255,108,0,0,222,173,10,34
3,0,0,139,25,48,0,0,0,255,145,0,0,230,175,18,18
4,0,0,130,54,61,0,0,0,255,216,0,1,237,185,52,22
5,0,0,110,54,57,0,0,0,236,207,3,4,239,205,43,20
6,0,0,106,37,50,6,0,0,228,166,9,0,236,236,34,15
7,0,0,101,15,63,1,0,0,220,113,14,0,225,255,0,16
8,0,0,63,8,91,0,3,0,155,102,26,20,207,255,18,35
9,0,0,44,12,107,0,0,0,124,113,34,0,192,255,2,20
10,0,0,39,17,127,10,0,0,113,120,35,0,176,255,4,0
11,0,0,44,4,130,8,0,0,125,92,29,0,175,255,3,14
12,0,2,73,0,101,0,0,0,170,42,16,3,178,255,25,0
13,0,0,92,0,91,3,0,0,209,72,1,25,187,255,39,23
14,0,0,102,1,98,0,0,0,224,83,0,25,187,255,28,13
15,0,0,103,0,107,3,0,0,221,28,0,21,183,255,0,10
16,0,0,86,0,111,0,0,0,195,3,0,25,176,255,21,10
17,0,0,65,0,120,0,0,0,156,1,0,19,184,255,10,12
18,0,0,54,0,133,0,0,0,137,23,0,4,202,255,14,3
19,0,0,35,0,218,0,0,0,105,19,0,0,206,255,30,8
20,0,0,15,0,251,62,0,0,71,40,0,0,206,255,40,1
21,0,0,4,0,229,112,0,0,51,44,0,0,203,240,45,0
22,0,0,0,0,170,120,4,0,36,21,0,0,209,233,56,8
23,0,0,0,0,140,128,3,0,30,27,0,11,217,228,55,13
24,0,0,0,0,112,150,0,0,12,36,0,24,223,236,38,37
25,0,0,0,0,79,165,0,0,2,29,0,32,217,255,32,35
26,0,0,0,0,48,168,0,0,5,14,4,29,210,255,23,36
27,0,0,0,0,30,156,0,0,5,6,9,15,197,255,17,28
28,0,0,0,0,20,132,0,0,0,0,4,1,184,255,8,35
29,0,0,0,0,19,111,0,0,19,0,0,24,167,255,1,37
30,0,0,0,0,26,107,13,0,31,20,0,34,151,255,29,23
31,0,0,0,0,37,106,0,0,27,30,0,21,144,255,33,20
32,0,0,0,0,45,110,0,0,2,10,0,2,146,255,37,7
33,0,0,0,0,35,109,0,0,14,18,0,5,159,255,32,24
34,0,0,0,0,16,122,0,0,29,13,0,19,170,255,8,40
35,0,0,0,0,8,139,0,3,27,0,0,28,172,255,48,60
36,0,0,0,0,2,167,0,25,25,0,0,10,155,255,23,99
37,0,0,0,0,0,217,0,27,25,11,0,1,131,255,24,100
38,0,0,0,0,0,255,0,8,28,0,0,0,116,255,69,67
39,0,0,0,0,4,255,0,0,25,0,0,0,115,255,12,53
40,0,0,0,0,7,255,0,2,19,3,0,1,120,255,0,58
41,0,0,0,0,3,244,0,0,16,1,0,21,126,255,17,46
42,0,0,0,0,7,233,0,0,11,16,4,15,130,255,27,26
43,0,0,0,0,11,231,0,0,7,0,6,2,136,255,31,29
44,0,0,0,0,13,235,0,0,0,3,4,0,156,255,28,35
45,0,0,0,0,7,250,0,0,6,3,0,0,182,255,30,50
46,0,0,0,0,0,255,0,0,15,0,0,3,205,255,54,30
47,8,0,0,0,0,255,0,0,15,1,0,18,215,255,42,16
48,0,0,0,0,0,255,0,0,19,0,0,0,209,255,21,6
49,0,0,0,0,0,255,0,0,15,10,0,0,203,255,36,14
50,0,0,0,0,6,245,0,0,11,0,0,1,207,255,6,29
51,0,0,0,0,22,190,0,0,30,0,4,0,177,255,23,5
52,0,0,0,0,34,126,0,0,22,0,5,0,136,255,3,12
53,0,0,0,0,34,109,0,0,23,8,9,0,115,255,13,23
54,0,0,0,0,31,121,0,0,17,24,12,0,111,255,17,32
55,0,0,0,0,25,149,0,0,8,26,10,0,111,255,37,47
56,0,0,0,0,8,181,0,7,7,33,0,27,131,255,49,67
57,0,0,0,0,0,185,0,7,5,52,0,34,152,255,44,66
58,0,0,0,0,3,186,0,4,3,38,0,40,179,255,46,59
59,0,0,0,0,8,196,0,2,3,40,0,36,180,255,32,58
60,0,0,0,0,4,226,0,0,7,44,0,23,158,226,21,50
61,0,0,0,0,4,217,0,0,7,30,0,0,126,177,9,37
62,0,0,0,0,16,185,0,3,16,48,0,0,95,140,23,57
63,0,0,0,0,21,151,0,0,31,53,0,3,59,110,0,51
64,0,0,0,0,16,124,0,0,40,49,15,8,66,81,0,42
65,0,0,0,0,5,112,0,0,34,39,33,0,56,54,6,26
66,0,0,0,0,0,89,0,0,80,17,45,0,87,32,25,47
67,0,0,0,0,0,94,0,1,36,0,56,19,110,17,0,54
68,0,0,0,0,0,108,0,0,38,12,57,9,119,8,0,51
69,7,0,0,0,0,122,0,0,26,16,70,1,130,0,0,28
70,4,0,0,0,0,106,0,0,30,25,63,14,135,0,7,15
71,4,0,0,0,0,85,0,0,33,22,65,22,129,0,7,5
72,27,0,0,0,0,77,0,0,25,0,108,12,93,1,0,0
73,37,0,0,0,0,56,0,0,18,9,130,11,35,4,0,0
