0,echo1,echo2,echo3,echo4,shadow5,shadow6,echo7,echo8,echo-contact9,echo-contact10,echo-contact11,echo-contact12,shadow13,shadow14,echo-contact15,echo-contact16
496,0,0,23,0,129,134,0,0,85,17,0,0,3,0,0,2
497,0,0,11,0,109,137,0,0,64,29,0,0,0,0,0,7
498,0,0,0,0,93,139,0,0,31,49,0,0,0,0,15,0
499,0,0,0,0,73,130,0,0,28,40,0,19,0,0,0,0
500,0,0,0,0,53,133,0,0,35,34,0,9,0,0,0,0
501,0,0,0,0,63,139,0,0,23,55,0,0,0,0,0,0
502,0,0,0,0,100,153,0,0,22,67,0,0,0,10,0,0
503,0,0,0,0,98,194,0,0,39,58,0,0,0,14,8,19
504,0,0,15,0,71,238,0,0,73,80,0,0,0,19,0,27
505,0,0,8,0,62,255,0,0,58,75,0,0,0,21,0,23
506,0,0,0,0,93,255,0,0,28,58,0,0,0,23,0,21
507,0,0,4,0,137,241,0,0,52,40,0,0,0,20,3,7
508,0,0,4,0,134,192,0,0,58,72,0,5,1,12,0,2
509,0,0,4,0,106,203,0,0,53,30,0,24,0,8,14,0
510,0,0,9,0,112,237,4,0,64,26,0,33,0,5,0,0
511,0,0,23,0,116,249,0,0,88,50,0,45,0,0,0,0
512,0,4,41,0,108,233,0,0,119,29,0,65,0,0,0,0
513,0,8,67,0,95,201,0,0,160,24,0,72,0,0,0,3
514,0,9,84,0,95,129,0,0,191,9,0,73,0,0,0,0
515,0,5,68,0,112,89,0,0,161,32,19,68,0,0,0,0
516,0,6,60,0,109,86,0,0,146,48,0,68,0,0,0,13
517,0,18,61,0,94,92,0,0,152,58,0,89,0,0,0,3
518,0,21,89,0,82,91,0,0,201,82,0,95,0,0,0,4
519,0,21,123,0,72,95,0,9,254,70,0,94,0,0,0,5
520,0,24,124,0,67,86,0,0,255,41,0,100,0,0,0,10
521,0,42,126,0,75,58,0,0,255,59,0,134,0,0,0,0
522,0,55,132,0,113,29,0,0,255,81,0,158,0,0,0,0
523,0,54,141,11,160,20,0,0,255,114,0,157,0,0,61,0
524,0,56,156,16,202,21,0,0,255,128,0,159,0,0,1,0
525,0,65,195,12,255,30,0,0,255,115,0,177,0,0,2,0
526,0,79,231,0,255,36,0,0,255,58,0,202,0,0,0,0
527,0,80,246,0,255,18,0,0,255,69,0,208,0,0,4,0
528,0,86,232,0,254,10,0,0,255,73,0,225,0,0,0,0
529,1,85,206,4,167,38,0,0,255,95,0,219,0,0,0,0
530,0,80,166,3,94,78,0,0,255,91,0,211,0,0,0,8
531,0,74,144,2,77,92,0,0,255,123,0,200,0,0,0,7
532,0,67,105,8,131,89,0,0,224,138,0,181,0,0,0,7
533,0,73,83,0,152,86,0,0,185,76,0,191,0,0,0,1
534,0,76,67,0,127,61,0,0,160,61,0,197,0,0,0,3
535,0,80,32,0,95,55,0,0,98,43,0,206,0,0,0,0
536,0,85,28,0,90,74,0,0,93,35,0,214,0,0,0,0
537,0,85,20,0,100,108,0,0,80,52,0,214,0,0,0,0
538,0,85,27,0,104,139,0,0,91,84,0,212,0,0,0,0
539,0,75,24,0,117,164,0,0,85,81,0,192,0,0,0,0
540,0,65,19,0,127,181,0,0,77,52,0,177,0,0,0,0
541,0,56,0,0,144,172,0,0,34,73,0,158,0,0,0,0
542,0,48,0,0,128,169,0,0,26,50,0,142,0,0,0,0
543,0,40,0,0,82,182,0,0,35,9,0,129,0,0,0,0
544,0,33,13,0,77,194,0,0,67,13,0,115,0,0,0,3
545,0,23,35,0,103,185,0,0,107,8,0,96,0,0,7,15
546,0,15,57,0,150,171,0,0,142,3,0,83,0,0,17,1
547,0,15,45,0,191,147,0,0,124,9,0,88,0,0,0,0
548,0,19,44,0,199,137,0,0,125,11,0,92,0,0,0,0
549,0,22,44,0,184,151,0,0,120,19,0,96,0,0,0,0
550,0,21,39,0,143,159,0,0,111,13,0,94,11,0,0,0
551,0,18,29,0,102,173,0,0,93,7,0,88,32,0,4,0
552,0,14,17,0,88,168,0,0,72,53,0,81,51,0,0,27
553,0,7,3,0,121,163,0,0,49,52,0,69,59,0,0,0
554,0,0,3,0,133,153,0,0,49,59,0,55,56,0,0,0
555,0,0,2,0,100,132,0,0,53,56,0,46,48,0,11,8
556,0,0,16,0,53,89,0,0,72,34,0,34,41,0,0,0
557,0,0,34,0,41,72,0,0,104,27,0,16,39,0,0,0
558,0,0,42,0,47,65,0,0,116,17,0,5,39,0,0,0
559,0,0,34,0,75,45,0,0,102,0,0,0,32,0,0,0
560,0,0,32,0,126,41,0,0,98,2,0,0,2,0,0,0
561,0,0,14,0,158,46,0,0,71,9,0,0,1,0,0,0
562,0,0,10,0,161,79,0,0,66,29,0,0,0,0,63,0
563,0,0,18,0,146,140,0,0,79,42,0,0,0,4,0,0
564,0,0,23,0,120,192,0,0,86,36,0,0,0,13,8,0
565,0,0,30,0,115,218,0,0,129,36,0,0,1,32,0,0
566,0,0,18,0,135,234,0,0,75,24,0,2,8,57,0,7
567,0,0,19,0,153,253,0,0,77,18,0,17,16,90,25,7
568,0,0,1,0,131,255,0,0,45,23,0,5,31,98,31,0
569,0,0,0,0,78,255,0,0,27,43,0,0,52,81,10,70
570,0,0,0,0,50,255,0,0,35,69,0,2,75,71,1,35
571,0,0,0,0,43,255,0,0,38,55,0,22,78,69,1,35
572,0,0,0,0,48,255,0,0,46,21,0,41,72,68,0,18
573,0,0,11,0,79,255,0,0,47,5,0,54,59,66,0,16
574,0,3,0,0,114,207,0,0,38,9,0,59,37,56,0,10
575,0,0,0,0,124,192,0,0,35,19,0,44,17,50,0,3
576,0,0,0,0,125,225,0,0,42,47,0,21,13,43,3,18
577,0,0,9,0,132,252,0,0,60,37,0,14,31,35,0,0
578,0,0,0,0,139,255,0,0,43,55,0,9,52,29,30,0
579,0,0,0,0,163,255,0,0,43,60,0,0,83,24,0,0
580,0,0,7,0,200,255,0,63,57,96,0,0,115,22,0,5
581,0,0,8,0,213,255,0,0,58,54,0,0,123,19,3,22
582,0,0,0,0,209,255,0,0,40,84,0,0,119,16,0,22
583,0,0,0,0,208,255,0,0,4,42,0,0,101,13,0,9
584,0,0,0,0,230,227,0,0,0,59,0,10,94,8,0,11
585,0,0,0,2,255,190,0,0,4,90,0,22,97,3,0,54
586,0,0,0,0,255,194,0,0,18,68,0,25,111,2,0,3
587,0,0,0,0,255,195,0,0,25,32,0,30,120,2,0,9
588,0,0,0,0,255,195,0,0,6,62,0,40,132,8,0,2
589,0,0,0,1,246,203,0,0,0,88,0,42,139,24,0,7
590,0,0,0,0,220,214,0,0,5,57,0,35,134,53,0,0
591,0,0,0,0,210,220,0,0,15,36,0,20,127,68,0,6
592,0,0,2,0,184,223,0,0,49,54,0,0,121,87,0,22
593,0,0,15,0,170,225,0,0,72,53,0,0,127,103,0,8
594,0,0,6,0,175,229,0,0,56,45,0,0,125,110,0,1
595,0,0,1,0,175,222,0,0,46,31,0,28,113,112,0,0
596,0,0,0,0,157,206,0,0,25,25,0,43,95,111,0,0
597,0,0,4,4,123,202,0,0,52,40,0,34,69,109,10,7
598,0,0,20,0,99,205,0,0,81,39,0,15,43,114,0,7
599,0,0,43,0,81,215,0,0,119,37,0,4,1,122,15,9
600,0,0,83,0,91,247,0,0,191,50,0,19,0,117,11,9
601,0,26,104,0,117,255,0,0,221,29,0,4,0,103,0,3
602,0,0,110,0,138,255,0,0,230,19,0,30,9,97,0,10
603,0,0,98,0,130,255,0,0,212,16,0,5,30,86,0,2
604,0,0,66,0,109,240,7,0,155,37,0,0,38,78,0,18
605,0,0,30,0,106,207,0,0,96,29,0,0,39,65,63,7
606,0,0,30,0,118,199,0,0,96,46,0,3,33,55,0,0
607,0,0,30,0,130,213,0,0,96,57,0,18,28,51,0,0
608,0,0,36,0,155,249,0,0,111,35,0,37,20,45,0,0
609,0,0,47,0,164,254,0,0,129,54,0,32,15,44,6,0
610,0,0,55,0,168,255,0,0,142,69,0,8,10,43,0,0
611,0,0,45,0,153,255,0,0,123,62,0,10,8,35,0,1
612,0,0,45,0,121,236,0,0,122,79,0,25,4,27,0,0
613,0,0,35,0,101,203,0,63,103,76,0,18,6,20,0,2
614,0,0,23,11,111,185,0,0,86,109,0,0,7,14,0,0
615,0,0,18,18,112,187,0,0,76,126,6,4,4,18,0,9
616,0,0,0,17,144,166,0,0,42,124,13,14,0,5,0,27
617,0,0,2,11,159,113,0,0,50,115,16,40,0,0,10,5
618,0,0,8,8,157,73,0,0,60,106,19,22,0,0,6,20
619,0,0,0,4,137,46,0,0,38,99,22,0,0,0,0,12
620,0,0,2,1,102,87,0,0,50,91,25,0,0,4,0,13
621,0,0,0,0,61,104,0,0,43,76,25,8,0,5,0,2
622,0,0,0,0,46,121,0,0,36,76,22,11,0,3,0,9
623,0,0,0,0,36,129,0,0,26,69,23,21,0,2,0,36
624,0,0,0,0,35,127,0,0,25,48,7,28,4,14,5,34
625,0,0,0,0,56,118,0,0,25,30,3,33,7,36,0,7
626,0,0,0,0,104,125,0,0,27,19,0,24,4,60,0,0
627,0,0,0,0,146,134,0,0,26,16,0,16,0,82,0,0
628,0,0,0,0,154,136,0,0,34,35,0,5,0,103,5,0
629,0,0,1,0,116,149,0,0,47,34,0,1,0,102,0,5
630,0,0,0,0,58,186,0,0,42,11,0,26,0,108,0,4
631,0,1,0,0,18,214,0,0,41,0,0,57,0,112,0,17
632,0,13,0,0,0,208,0,0,37,10,0,84,0,99,0,14
633,0,17,9,0,0,204,0,0,61,14,0,89,0,99,0,20
634,0,17,32,0,0,200,0,0,98,5,0,91,5,94,9,5
635,0,0,31,0,0,192,0,0,97,0,0,48,32,91,0,24
636,0,0,12,0,0,187,0,0,65,0,0,32,41,99,6,33
637,0,0,0,0,5,189,0,0,31,0,0,37,38,110,15,30
638,0,0,0,0,30,209,0,0,24,0,0,43,18,126,18,23
